pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
GK,60-69,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19
GK,60-69,20,0.9991554054054054,0.9954954954954955,1.0,0.9995569339831636,0.9790237999193223,0.990990990990991,0.9995777027027027,37
GK,60-69,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54
GK,60-69,22,0.9948997209382606,0.9936446100572117,0.9985438660356752,0.9988850174216028,0.9687416335575909,0.9912891986062718,0.9941937395082452,82
GK,60-69,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63
GK,60-69,24,0.9967183857808858,0.9953236064347175,1.0,0.9991883116883117,0.9743663835703638,0.9841982578824684,0.9941063493259019,66
GK,60-69,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59
GK,60-69,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78
GK,60-69,27,1.0,0.9992714910150559,1.0,1.0,0.9871420222092343,0.9924242424242424,1.0,58
GK,60-69,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50
GK,60-69,29,1.0,0.9984210526315789,1.0,0.999672131147541,0.98625,0.9896774193548388,0.9983561643835617,50
GK,60-69,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54
GK,60-69,31,1.0,0.9955169515270383,1.0,1.0,0.9828440716736561,1.0,1.0,43
GK,60-69,32,0.9992559523809523,0.9975845410628019,1.0,1.0,0.984848484848485,0.9777595538789567,1.0,42
GK,60-69,33,0.9974747474747474,0.9899251276892121,1.0,0.997983870967742,0.9514968851499495,0.9972222222222222,0.9988095238095238,48
GK,60-69,34,0.9984243697478992,0.9947089947089947,0.9994145199063231,1.0,0.9679089026915114,0.9817275747508305,1.0,28
GK,60-69,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24
GK,70-79,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
GK,70-79,22,0.9722222222222222,0.9695191350120929,0.9857142857142858,0.9887074889482208,0.9382209188660802,0.9434754521963824,0.9759055714981861,11
GK,70-79,23,0.9880281690140846,0.98125,0.9892307692307692,0.9928571428571429,0.9566666666666667,0.99875,0.9886363636363636,20
GK,70-79,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16
GK,70-79,25,1.0,1.0,1.0,1.0,0.966183574879227,1.0,1.0,23
GK,70-79,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30
GK,70-79,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23
GK,70-79,28,0.9973024453024453,0.9944170771756978,1.0,0.9992172211350294,0.9356481614996396,0.9755847953216374,1.0,35
